account_id,customer_id,account_type,currency,opened_date,status,credit_limit,last_updated_at
ACC000001,CUST00001,CHECKING,INR,2024-12-31,closed,0,2024-12-31 15:23:13
ACC000002,CUST00002,checking,EUR,2024-09-25,ACTIVE,0,2024-09-25 00:29:04
ACC000003,CUST00003,credit,EUR,2024-12-26,FROZEN,0,2024-12-26 19:00:02
ACC000004,CUST00004,checking,gbp,2024-08-25,CLOSED,0,2024-08-25 18:14:56
ACC000005,CUST00004,CHECKING,EUR,2025-06-24,closed,0,2025-06-24 20:54:49
ACC000006,CUST00005,CHECKING,CAD,2025-05-31,active,0,2025-05-31 01:23:17
ACC000007,CUST00005,credit,NGN,2024-12-16,CLOSED,0,2024-12-16 02:44:25
ACC000008,CUST00005,savings,GBP,2025-06-27,active,0,2025-06-27 05:17:13
ACC000009,CUST00006,SAVINGS,usd,2024-04-04,ACTIVE,0,2024-04-04 20:37:02
ACC000010,CUST00006,SAVINGS,GBP,2024-03-15,ACTIVE,0,2024-03-15 05:40:45
ACC000011,CUST00007,checking,CAD,2024-12-23,CLOSED,0,2024-12-23 19:33:27
ACC000012,CUST00007,credit,gbp,2025-03-15,ACTIVE,0,2025-03-15 01:15:16
ACC000013,CUST00007,CREDIT,NGN,2025-03-20,CLOSED,0,2025-03-20 03:45:20
ACC000014,CUST00008,credit,EUR,2024-12-21,closed,25000,2024-12-21 12:32:15
ACC000015,CUST00008,CREDIT,usd,2025-06-23,CLOSED,0,2025-06-23 06:57:56
ACC000016,CUST00009,savings,CAD,2025-02-18,active,0,2025-02-18 01:15:13
ACC000017,CUST00010,savings,INR,2024-09-23,active,0,2024-09-23 00:40:14
ACC000018,CUST00010,checking,USD,2024-11-12,closed,0,2024-11-12 02:49:30
ACC000019,CUST00011,CREDIT,usd,2025-02-03,FROZEN,10000,2025-02-03 23:04:36
ACC000020,CUST00011,savings,GBP,2025-05-17,CLOSED,0,2025-05-17 21:48:22
ACC000021,CUST00012,savings,USD,2025-03-26,FROZEN,0,2025-03-26 11:03:53
ACC000022,CUST00012,credit,GBP,2024-08-24,ACTIVE,0,2024-08-24 07:17:16
ACC000023,CUST00013,credit,gbp,2025-04-29,active,1000,2025-04-29 07:52:21
