account_id,customer_id,account_type,currency,opened_date,status,credit_limit,last_updated_at
ACC001646,CUST00836,CREDIT,GBP,2025-06-14,closed,0,2025-08-18 03:27:24
ACC003239,CUST01643,SAVINGS,JPY,2025-06-02,closed,5000,2025-09-11 18:59:42
ACC002424,CUST01239,checking,INR,2024-12-29,active,5000,2025-08-07 07:41:56
ACC000659,CUST00335,CREDIT,EUR,2025-05-10,active,0,2025-08-14 23:58:19
ACC001418,CUST00717,CREDIT,NGN,2025-02-04,closed,0,2025-07-01 18:03:44
ACC002391,CUST01221,CREDIT,JPY,2024-05-16,ACTIVE,10000,2025-08-29 10:49:41
ACC000941,CUST00466,CREDIT,GBP,2024-07-14,CLOSED,0,2025-07-25 10:24:23
ACC002105,CUST01072,CHECKING,USD,2024-09-25,FROZEN,25000,2025-07-07 05:20:59
ACC000019,CUST00011,CREDIT,usd,2025-02-03,CLOSED,25000,2025-08-12 22:19:17
ACC001589,CUST00807,CREDIT,NGN,2025-02-23,active,0,2025-08-29 03:02:26
ACC001494,CUST00755,checking,CAD,2025-03-12,closed,25000,2025-07-31 18:04:32
ACC000667,CUST00340,checking,NGN,2024-12-30,closed,25000,2025-08-29 22:30:23
ACC001617,CUST00819,SAVINGS,CAD,2024-08-27,active,0,2025-09-08 20:08:36
ACC001976,CUST01006,CHECKING,NGN,2025-05-08,ACTIVE,0,2025-09-03 09:36:07
ACC000807,CUST00407,checking,JPY,2024-12-03,active,25000,2025-07-15 00:14:04
ACC002338,CUST01192,CREDIT,NGN,2025-01-13,closed,10000,2025-09-05 12:26:23
ACC002253,CUST01150,CHECKING,NGN,2025-05-26,active,5000,2025-07-17 09:27:37
ACC000312,CUST00166,SAVINGS,NGN,2024-09-08,closed,5000,2025-08-01 16:49:53
ACC003022,CUST01532,CREDIT,USD,2025-01-22,ACTIVE,10000,2025-08-24 08:19:55
ACC000696,CUST00352,credit,CAD,2025-03-27,closed,5000,2025-09-23 11:23:57
ACC001289,CUST00650,CHECKING,GBP,2025-05-16,FROZEN,25000,2025-09-14 03:46:03
ACC002927,CUST01487,SAVINGS,EUR,2025-05-12,active,0,2025-07-19 23:53:37
ACC000159,CUST00085,checking,EUR,2024-11-17,closed,0,2025-07-10 18:23:00
ACC002429,CUST01241,CHECKING,INR,2024-11-18,closed,25000,2025-09-08 19:30:22
ACC001851,CUST00945,credit,gbp,2025-05-20,CLOSED,5000,2025-08-10 05:15:07
ACC003520,CUST01788,checking,USD,2025-02-23,active,25000,2025-07-27 18:23:17
ACC002468,CUST01262,SAVINGS,EUR,2025-05-10,active,10000,2025-08-14 14:01:59
ACC002969,CUST01509,CREDIT,JPY,2025-06-19,ACTIVE,0,2025-09-29 04:01:55
ACC000262,CUST00139,SAVINGS,INR,2025-03-24,CLOSED,5000,2025-08-01 02:42:43
ACC003660,CUST01857,savings,USD,2025-01-27,ACTIVE,10000,2025-08-22 01:08:35
ACC000684,CUST00347,credit,GBP,2024-09-01,CLOSED,25000,2025-07-16 15:14:36
ACC001225,CUST00616,checking,NGN,2025-06-17,closed,10000,2025-07-02 20:59:35
ACC001597,CUST00811,checking,USD,2024-11-03,FROZEN,0,2025-09-27 16:38:47
ACC003936,CUST01993,SAVINGS,EUR,2024-12-13,active,10000,2025-07-13 00:05:59
ACC001100,CUST00554,checking,GBP,2024-11-13,active,25000,2025-08-29 17:32:20
ACC002072,CUST01054,SAVINGS,INR,2025-02-27,CLOSED,5000,2025-08-11 10:37:23
ACC002851,CUST01452,credit,usd,2025-06-14,active,25000,2025-07-28 18:19:08
ACC003090,CUST01569,CHECKING,EUR,2025-02-16,ACTIVE,25000,2025-08-19 14:49:50
ACC000972,CUST00482,CREDIT,NGN,2024-12-21,CLOSED,25000,2025-08-02 09:59:45
ACC000908,CUST00453,SAVINGS,INR,2025-04-18,ACTIVE,0,2025-07-03 20:45:36
ACC000734,CUST00370,CREDIT,INR,2025-05-01,CLOSED,5000,2025-07-31 13:02:10
ACC001903,CUST00972,CHECKING,JPY,2025-04-24,closed,10000,2025-09-29 13:22:13
ACC003416,CUST01734,SAVINGS,gbp,2025-05-07,FROZEN,10000,2025-09-04 20:17:49
ACC002408,CUST01231,savings,usd,2024-08-02,closed,0,2025-08-09 17:41:47
ACC000760,CUST00385,SAVINGS,GBP,2025-05-28,active,25000,2025-07-04 07:32:11
ACC000594,CUST00302,SAVINGS,CAD,2025-06-01,active,10000,2025-08-13 00:42:48
ACC000304,CUST00160,CREDIT,usd,2025-06-20,ACTIVE,0,2025-09-12 13:33:11
ACC003703,CUST01879,CHECKING,USD,2024-12-26,ACTIVE,25000,2025-09-02 16:42:35
ACC000271,CUST00145,credit,INR,2025-03-21,CLOSED,5000,2025-09-15 06:05:43
ACC002658,CUST01357,CHECKING,GBP,2024-10-21,CLOSED,5000,2025-09-30 16:26:34
