transaction_id,account_id,merchant_id,txn_timestamp,amount,currency,txn_type,status,last_updated_at
TXN00043118,ACC003244,MER0131,2025-07-12 02:33:40,7.29,CAD,REFUND,REVERSED,2025-07-12 02:33:40
TXN00041009,ACC001272,MER0104,2025-09-28 14:35:33,23.8,USD,REFUND,posted,2025-09-28 14:35:33
TXN00042838,ACC003577,MER0037,2025-08-01 15:03:01,8.9,JPY,purchase,PENDING,2025-08-01 15:03:01
TXN00043123,ACC001376,MER0003,2025-08-15 22:59:18,21.97,EUR,REFUND,posted,2025-08-15 22:59:18
TXN00041053,ACC002567,MER0104,2025-07-12 16:00:01,31.28,EUR,WITHDRAWAL,REVERSED,2025-07-12 16:00:01
TXN00043678,ACC001905,MER0025,2025-09-23 09:45:29,84.79,usd,purchase,PENDING,2025-09-23 09:45:29
TXN00047104,ACC000864,MER0038,2025-08-08 15:33:47,3.6,NGN,DEPOSIT,posted,2025-08-08 15:33:47
TXN00041679,ACC001255,MER0068,2025-07-22 00:53:12,51.43,USD,PURCHASE,REVERSED,2025-07-22 00:53:12
TXN00041994,ACC003002,MER0129,2025-07-23 10:21:02,13.32,GBP,REFUND,posted,2025-07-23 10:21:02
TXN00047464,ACC003164,MER0118,2025-07-15 20:25:40,9.99,NGN,purchase,posted,2025-07-15 20:25:40
TXN00044381,ACC001456,MER0079,2025-07-01 03:21:00,50.83,JPY,REFUND,REVERSED,2025-07-01 03:21:00
TXN00040523,ACC001908,MER0104,2025-09-16 04:01:31,8.26,CAD,purchase,DECLINED,2025-09-16 04:01:31
TXN00042617,ACC001803,MER0109,2025-09-16 17:22:44,43.96,usd,DEPOSIT,PENDING,2025-09-16 17:22:44
TXN00044058,ACC002386,MER0128,2025-07-02 23:37:53,77.72,CAD,DEPOSIT,POSTED,2025-07-02 23:37:53
TXN00045074,ACC000962,MER0132,2025-09-23 15:41:52,13.26,GBP,purchase,posted,2025-09-23 15:41:52
TXN00042430,ACC002475,MER0014,2025-09-11 05:05:09,91.43,INR,REFUND,POSTED,2025-09-11 05:05:09
TXN00043600,ACC001184,MER0106,2025-09-08 23:29:08,37.96,EUR,WITHDRAWAL,POSTED,2025-09-08 23:29:08
