transaction_id,account_id,merchant_id,txn_timestamp,amount,currency,txn_type,status,last_updated_at
TXN00000001,ACC003043,MER0078,2024-07-10 10:07:12,7.89,JPY,WITHDRAWAL,posted,2024-07-10 10:07:12
TXN00000002,ACC002849,MER0025,2024-02-16 12:52:21,9.08,INR,REFUND,POSTED,2024-02-16 12:52:21
TXN00000003,ACC003225,MER0023,2024-06-08 13:05:57,19.27,INR,PURCHASE,posted,2024-06-08 13:05:57
TXN00000004,ACC000662,MER0134,2024-04-15 00:53:58,14.68,JPY,DEPOSIT,POSTED,2024-04-15 00:53:58
TXN00000005,ACC003487,MER0082,2024-08-12 17:28:05,5.55,EUR,TRANSFER,POSTED,2024-08-12 17:28:05
TXN00000006,ACC001510,MER0076,2025-04-16 21:57:45,11.04,NGN,purchase,REVERSED,2025-04-16 21:57:45
TXN00000007,ACC003761,MER0078,2024-02-25 17:28:19,44.34,usd,DEPOSIT,DECLINED,2024-02-25 17:28:19
TXN00000008,ACC001164,MER0020,2024-04-04 20:22:27,33.21,GBP,PURCHASE,PENDING,2024-04-04 20:22:27
TXN00000009,ACC002712,MER0018,2024-06-18 03:59:34,14.89,NGN,REFUND,PENDING,2024-06-18 03:59:34
TXN00000010,ACC003660,MER0036,2024-09-24 11:58:09,75.97,CAD,WITHDRAWAL,DECLINED,2024-09-24 11:58:09
TXN00000011,ACC002887,MER0134,2024-02-20 11:46:23,21.37,JPY,WITHDRAWAL,DECLINED,2024-02-20 11:46:23
TXN00000012,ACC002449,MER0015,2024-10-30 06:04:54,49.39,USD,WITHDRAWAL,POSTED,2024-10-30 06:04:54
TXN00000013,ACC001850,MER0103,2025-04-03 22:11:15,43.58,GBP,WITHDRAWAL,PENDING,2025-04-03 22:11:15
TXN00000014,ACC001867,MER0104,2025-01-27 03:22:48,17.21,EUR,DEPOSIT,PENDING,2025-01-27 03:22:48
TXN00000015,ACC000340,MER0071,2024-11-10 15:29:32,21.49,usd,purchase,POSTED,2024-11-10 15:29:32
TXN00000016,ACC000738,MER0132,2024-10-20 15:47:33,108.34,INR,PURCHASE,POSTED,2024-10-20 15:47:33
TXN00000017,ACC002218,MER0070,2024-01-03 15:56:49,114.61,usd,TRANSFER,posted,2024-01-03 15:56:49
TXN00000018,ACC002055,MER0032,2025-02-20 13:19:52,23.01,CAD,DEPOSIT,posted,2025-02-20 13:19:52
TXN00000019,ACC002278,MER0004,2024-04-18 17:55:10,27.67,JPY,WITHDRAWAL,DECLINED,2024-04-18 17:55:10
TXN00000020,ACC002483,MER0077,2024-09-10 18:54:54,26.48,USD,PURCHASE,PENDING,2024-09-10 18:54:54
TXN00000021,ACC002480,MER0059,2024-03-12 16:01:37,46.89,CAD,PURCHASE,POSTED,2024-03-12 16:01:37
TXN00000022,ACC003194,MER0038,2024-07-10 06:53:35,46.64,EUR,DEPOSIT,REVERSED,2024-07-10 06:53:35
TXN00000023,ACC002869,MER0093,2025-04-04 20:35:14,21.43,INR,REFUND,POSTED,2025-04-04 20:35:14
TXN00000024,ACC003796,MER0019,2025-04-10 02:20:49,25.71,USD,WITHDRAWAL,POSTED,2025-04-10 02:20:49
TXN00000025,ACC001364,MER0033,2025-04-28 04:01:58,14.49,JPY,PURCHASE,PENDING,2025-04-28 04:01:58
TXN00000026,ACC003002,MER0033,2024-08-11 15:03:14,17.97,JPY,PURCHASE,posted,2024-08-11 15:03:14
TXN00000027,ACC003097,MER0144,2024-03-07 00:33:37,10.49,USD,DEPOSIT,posted,2024-03-07 00:33:37
TXN00000028,ACC000399,MER0114,2024-12-26 21:52:27,115.66,gbp,purchase,DECLINED,2024-12-26 21:52:27
TXN00000029,ACC001324,MER0127,2025-04-08 03:06:59,14.71,CAD,REFUND,REVERSED,2025-04-08 03:06:59
TXN00000030,ACC003662,MER0140,2024-08-25 17:23:29,7.29,NGN,PURCHASE,DECLINED,2024-08-25 17:23:29
TXN00000031,ACC000986,MER0070,2024-02-21 18:57:37,17.06,CAD,TRANSFER,POSTED,2024-02-21 18:57:37
TXN00000032,ACC003795,MER0144,2024-03-05 11:07:36,7.79,usd,WITHDRAWAL,REVERSED,2024-03-05 11:07:36
TXN00000033,ACC002098,MER0123,2025-03-04 14:59:18,11.76,NGN,REFUND,REVERSED,2025-03-04 14:59:18
TXN00000034,ACC001235,MER0128,2024-05-04 20:12:21,62.48,EUR,WITHDRAWAL,POSTED,2024-05-04 20:12:21
TXN00000035,ACC003691,MER0055,2025-02-16 19:56:53,2.39,gbp,REFUND,POSTED,2025-02-16 19:56:53
TXN00000036,ACC000454,MER0088,2024-01-25 18:50:26,22.23,GBP,TRANSFER,REVERSED,2024-01-25 18:50:26
TXN00000037,ACC003465,MER0008,2024-03-24 21:29:47,13.95,NGN,purchase,DECLINED,2024-03-24 21:29:47
TXN00000038,ACC003125,MER0037,2025-03-13 08:56:13,18.85,CAD,DEPOSIT,REVERSED,2025-03-13 08:56:13
TXN00000039,ACC003320,MER0100,2024-08-14 02:48:28,11.87,GBP,PURCHASE,PENDING,2024-08-14 02:48:28
TXN00000040,ACC000753,MER0024,2024-01-16 17:35:43,7.37,INR,purchase,POSTED,2024-01-16 17:35:43
TXN00000041,ACC000537,MER0023,2025-01-12 00:00:26,11.57,NGN,TRANSFER,REVERSED,2025-01-12 00:00:26
TXN00000042,ACC000722,MER0098,2024-05-17 08:24:52,17.29,GBP,TRANSFER,POSTED,2024-05-17 08:24:52
TXN00000043,ACC000136,MER0032,2024-11-03 17:59:04,8.22,GBP,REFUND,posted,2024-11-03 17:59:04
TXN00000044,ACC001468,MER0039,2025-01-23 10:45:26,63.89,USD,TRANSFER,POSTED,2025-01-23 10:45:26
TXN00000045,ACC000998,MER0058,2025-06-05 12:15:30,9.24,INR,REFUND,DECLINED,2025-06-05 12:15:30
TXN00000046,ACC001400,MER0097,2024-03-06 19:54:12,5.89,EUR,purchase,PENDING,2024-03-06 19:54:12
TXN00000047,ACC000263,MER0095,2024-10-19 11:49:41,74.7,CAD,REFUND,PENDING,2024-10-19 11:49:41
TXN00000048,ACC003681,MER0001,2024-01-02 21:48:30,36.45,gbp,WITHDRAWAL,posted,2024-01-02 21:48:30
TXN00000049,ACC002571,MER0137,2024-04-16 04:34:44,6.82,usd,WITHDRAWAL,PENDING,2024-04-16 04:34:44
TXN00000050,ACC001819,MER0031,2024-10-19 16:53:24,373.37,gbp,WITHDRAWAL,posted,2024-10-19 16:53:24
TXN00000051,ACC001754,MER0089,2025-06-10 08:51:18,19.4,EUR,DEPOSIT,DECLINED,2025-06-10 08:51:18
TXN00000052,ACC003211,MER0142,2025-05-18 09:30:30,20.56,usd,DEPOSIT,PENDING,2025-05-18 09:30:30
TXN00000053,ACC002955,MER0040,2025-01-05 08:00:41,20.29,EUR,purchase,POSTED,2025-01-05 08:00:41
TXN00000054,ACC003799,MER0099,2025-06-08 10:07:35,22.43,INR,DEPOSIT,DECLINED,2025-06-08 10:07:35
TXN00000055,ACC001992,MER0092,2024-06-07 20:06:53,10.4,EUR,PURCHASE,posted,2024-06-07 20:06:53
TXN00000056,ACC002100,MER0057,2024-10-21 00:41:53,25.65,INR,PURCHASE,POSTED,2024-10-21 00:41:53
TXN00000057,ACC000165,MER0063,2024-08-10 04:40:31,31.45,INR,WITHDRAWAL,posted,2024-08-10 04:40:31
TXN00000058,ACC003579,MER0019,2025-03-18 13:47:48,36.68,GBP,purchase,PENDING,2025-03-18 13:47:48
TXN00000059,ACC001557,MER0054,2024-12-05 16:51:53,44.77,EUR,TRANSFER,REVERSED,2024-12-05 16:51:53
TXN00000060,ACC002798,MER0088,2024-07-19 06:45:36,35.73,usd,WITHDRAWAL,posted,2024-07-19 06:45:36
TXN00000061,ACC001589,MER0042,2025-02-10 20:12:26,33.97,NGN,TRANSFER,PENDING,2025-02-10 20:12:26
TXN00000062,ACC003300,MER0047,2024-05-22 21:48:20,74.49,gbp,WITHDRAWAL,PENDING,2024-05-22 21:48:20
TXN00000063,ACC003418,MER0101,2024-06-20 08:25:09,111.34,CAD,TRANSFER,REVERSED,2024-06-20 08:25:09
TXN00000064,ACC001203,MER0041,2024-12-30 11:40:17,10.91,EUR,WITHDRAWAL,REVERSED,2024-12-30 11:40:17
